t,x_exacta,x_euler,x_rk4,error_x_euler,error_x_rk4,y_exacta,y_euler,y_rk4,error_y_euler,error_y_rk4,error_norma_euler,error_norma_rk4
0.78,-10.378816568934107,-10.61574515354847,-10.378821810950402,0.23692858461436295,5.242016294815244e-06,-0.2241410266328124,-2.193570774030286,-0.22410936499658918,1.9694297473974736,3.166163622322915e-05,1.9836301782694883,3.209264624750045e-05
0.8,-11.004379393458667,-11.428175524683802,-11.004382328505105,0.42379613122513504,2.9350464387789543e-06,0.6434684790710833,-1.4759254081882256,0.643503306533766,2.1193938872593088,3.4827462682684995e-05,2.1613499508856764,3.4950917792121066e-05
0.8200000000000001,-11.592878241087991,-12.231940088819888,-11.59287839610837,0.639061847731897,1.5502037875592123e-07,1.6148644753597228,-0.6502268907048149,1.6149025150099645,2.2650913660645378,3.8039650241739054e-05,2.353516293091386,3.803996611238853e-05
0.84,-12.13334013316052,-13.017874645405467,-12.13333699460567,0.8845345122449473,3.138554848902686e-06,2.6929671811829876,0.28931470295848727,2.693008439381325,2.4036524782245,4.125819833733502e-05,2.5612392585284156,4.137740272881376e-05
0.86,-12.613903025759358,-13.775801947893116,-12.61389604031202,1.1618989221337586,6.985447337015671e-06,3.879936347654663,1.3481035567684339,3.87998078408092,2.531832790886229,4.4436426256844186e-05,2.785711109620368,4.498213482015022e-05
0.88,-13.021828382829986,-14.494501780225228,-13.021816958798157,1.4726733973952424,1.1424031828966008e-05,5.177051373120061,2.531053926005989,5.177098893685618,2.6459974471140715,4.752056555723527e-05,3.028212249088533,4.8874458095294764e-05
0.9,-13.34352465707403,-15.161687572958263,-13.34350816653646,1.8181629158842334,1.649053757013519e-05,6.5845854789992515,3.842477303984367,6.5846359283850795,2.7421081750148844,5.0449385827988635e-05,3.290117571178896,5.307615622643845e-05
0.92,-13.564582820055417,-15.76399064301701,-13.564560601845784,2.199407822961593,2.2218209632995922e-05,8.101674524908777,5.28596094806009,8.101727678772491,2.8157135768486867,5.315386371407271e-05,3.5729032618522822,5.761060724406547e-05
0.9400000000000001,-13.669825100572073,-16.286953205753225,-13.669796464190084,2.617128105181152,2.863638198924434e-05,9.726181172230726,6.864237856385056,9.726236729136842,2.8619433158456697,5.5556906115583615e-05,3.878154079203506,6.250289745739545e-05
0.96,-13.643368097904336,-16.715031369587614,-13.643332328442991,3.0716632716832777,3.5769461344870024e-05,11.45455524509547,8.579048384228418,11.454612818234612,2.875506860867052,5.7573139141453566e-05,4.20757114752698,6.777994331292498e-05
0.98,-13.468701432688073,-17.031609381024598,-13.468657796866681,3.562907948336525,4.363582139177424e-05,13.281691286352359,10.430993796849133,13.281750395127967,2.8506974895032258,5.9108775607441544e-05,4.5629803007441945,7.347062176370702e-05
1.0,-13.128783081462345,-17.219026440138144,-13.128730834853217,4.090243358675799,5.224660912794832e-05,15.200784463068196,12.419382175142049,15.200844524642683,2.781402287926147,6.00615744872357e-05,4.946341013362533,7.960590992667803e-05
1.02,-12.606152509945973,-17.25861745253507,-12.606090905480968,4.652464942589097,6.160446500480532e-05,17.203186140814825,14.542067220861624,17.203246461721264,2.6611189199532017,6.032090643870447e-05,5.359755959757259,8.621903422165677e-05
1.04,-11.883062673315397,-17.130769122018243,-11.882990971153873,5.247706448702846,7.170216152374564e-05,19.27826061772448,16.795280650316126,19.278320385665147,2.4829799674083546,5.97679406659779e-05,5.805481245367057,9.33456303135244e-05
1.06,-10.94163188766603,-16.81499281731405,-10.941549366501011,5.873360929648019,8.252116501950013e-05,21.413244687075338,19.173459019096555,21.41330296304372,2.239785667978783,5.827596838159366e-05,6.285937356385204,0.00010102391383721023
1.08,-9.764016493920575,-16.29001566482517,-9.763922463792053,6.525999170904594,9.403012852260417e-05,23.593111879903645,21.669065985627473,23.593167590782976,1.9240458942761727,5.571087933020635e-05,6.8037208777204,0.00010929486330895094
1.1,-8.332605132174454,-15.533891325864483,-8.332498948850008,7.201286193690029,0.00010618332444600753,25.800443425516416,24.272411197951136,25.80049535732435,1.52803222756528,5.1931807934835206e-05,7.361617032412698,0.00011820241565123242
1.12,-6.630235319346672,-14.52413190958026,-6.630116400317823,7.893896590233589,0.0001189190288490849,28.01530815628498,26.971467175897363,28.01535494825063,1.0438409803876176,4.679196564794097e-05,7.962613099331027,0.00012779367539752338
1.1400000000000001,-4.640432874572745,-13.237862450083288,-4.6403007167021775,8.597429575510542,0.0001321578705670845,30.215153772004168,29.751685759217626,30.215193911680835,0.46346801278654226,4.0139676666939295e-05,8.609912769868211,0.0001381191384122877
1.16,-2.3476745636416854,-11.651999336350874,-2.347528762480277,9.304324772709188,0.00014580116140816557,32.374712066451266,32.595815900777346,32.374743886085284,0.2211038343260796,3.181963401743815e-05,9.306951508501783,0.00014923293127515005
1.18,0.26232586537218944,-9.743454024469738,0.26248559459808884,10.005779889841927,0.00015972922589940763,34.465920902386266,35.48372480173206,34.4659425767781,1.0178038993457932,2.1674391831538742e-05,10.057412986523355,0.0001611930670583914
1.2,3.2023083095011686,-7.489363281799358,3.2024821092533062,10.691671591300526,0.00017379975213760446,36.457865898670434,38.392224611793566,36.45787544478133,1.9343587131231317,9.546110895541915e-06,10.865246662973561,0.00017406171915824206
1.22,6.483133910174148,-4.867347109763834,6.483321756361917,11.350481019937982,0.0001878461877691251,38.31674496178091,41.29490715104513,38.316740240351905,2.978162189264218,4.72142900775907e-06,11.73468659187519,0.00018790551389267083
1.24,10.113430217123064,-1.8557953642660534,10.113631893331434,11.969225581389118,0.0002016762083698609,40.00585895083775,44.161989348888945,40.005837670303194,4.1561303980511966,2.1280534554080077e-05,12.670271540254568,0.00020279584358006686
1.26,14.09921482336566,1.565816061789099,14.099429893653898,12.53339876157656,0.00021507028823819496,41.485631907184214,46.96017233896357,41.48559163017324,5.474540431779353,4.0277010974421046e-05,13.676866507203897,0.00021880920112256225
1.28,18.44349872184361,5.416578812613531,18.443726502250655,13.026919909230081,0.00022778040704451996,42.713664403152194,49.652517394358256,42.71360255588251,6.938852991206062,6.184726968427867e-05,14.759685740389743,0.0002360275378017724
1.3,23.145871009012886,9.713774932919003,23.14611053794147,13.432096076093883,0.00023952892858503105,43.644823666260685,52.19834213301067,43.64473755113657,8.553518466749985,8.611512411249578e-05,15.924317352980934,0.00025453864584774443
1.32,28.202066965921183,14.472468799534997,28.202316973613165,13.729598166386186,0.0002500076919815797,44.23137421084882,54.55314066635779,44.231261022582544,10.321766455508971,0.00011318826627615408,17.17674965098185,0.0002744365676664791
1.34,33.603521982659686,19.705068180815722,33.60378086001568,13.898453801843964,0.0002588773559963897,44.423152754946706,56.66853160237646,44.42300960052114,12.245378847429755,0.0001431544255652284,18.52339928844247,0.00029582203265915137
1.36,39.33691425674892,25.42085479985478,39.33718002379427,13.91605945689414,0.0002657670453487526,44.16779121170951,58.49223804405379,44.167615134502945,14.324446832344279,0.00017607720656798165,19.971141376007303,0.0003188029251217586
1.3800000000000001,45.38369968883786,31.625485131370368,45.38396996318159,13.75821455746749,0.000270274343733945,43.4109915175232,59.96810394270864,43.41077952590677,16.557112425185437,0.00021199161643181696,21.527341676796517,0.0003434947835385412
1.4000000000000001,51.719642918389944,38.320462554669284,51.71991488407825,13.39918036372066,0.0002719656883058974,42.09685598824531,61.03615136876152,42.096605088957205,18.939295380516214,0.0002508992881047334,23.199891032717375,0.0003700213350432142
1.42,58.314348985691694,45.50258241745036,58.314619362909085,12.811766568241332,0.00027037721739020526,40.168276776220424,61.632683446513674,40.16798401280331,21.46440667029325,0.00029276341711437226,24.99724217402463,0.0003985150663201508
1.44,65.13080067186306,53.16335203821848,65.13106568798919,11.96744863364458,0.0002650161261357198,37.56738782880031,61.690437859908464,37.56705032536715,24.123050031108157,0.0003375034331583038,26.928449075323087,0.00042911783289164917
1.46,72.12490715233902,61.288388189304264,72.1251625149314,10.836518963034756,0.0002553625923837899,34.23608251917263,61.13879596844549,34.23569752973806,26.90271344927286,0.00038498943457199175,29.003209032276043,0.00046198151296456826
1.48,79.24507019770616,69.85679515813815,79.24531107003082,9.388275039568,0.00024087232466740716,30.116599827398513,59.90405267140788,30.11616479097906,29.78745284400937,0.00043503641945363825,31.23190764510963,0.0004972687030587414
1.5,86.43177476428343,78.84052708133908,86.43199574408177,7.591247682944356,0.00022097979834256876,25.152181588762453,57.9097522190413,25.15169419040615,32.75757063027885,0.0004873983563022932,33.62566690760966,0.0005351534630381266
1.52,93.61721143031221,88.20373888374273,93.6174065325478,5.41347254656948,0.0001951022355939358,19.287802893019975,55.077095185676654,19.287261130873336,35.78929229265668,0.0005417621466392575,36.196396613774645,0.0005758221130391989
1.54,100.7249387461426,97.90213083162142,100.72510139053388,2.822807914521178,0.00016264439128121921,12.470977207210087,51.325421786117836,12.470379465675993,38.854444578907746,0.0005977415340936432,38.95684930866069,0.0006194740830703576
1.56,107.66959417176115,107.88229242440813,107.66971717598067,0.21269825264698738,0.0001230042195174974,4.652637201989069,46.57277662675519,4.651982330929703,41.92013942476612,0.0006548710593667906,41.92067902525566,0.000666322851488144
1.58,114.35666286517072,118.08105210001304,114.3567384445265,3.72438923484232,7.557935578006436e-05,-4.211908417462865,40.736559830407856,-4.212621017450375,44.94846824787072,0.000712599987509499,45.10250406576615,0.0007165968051970841
1.6,120.68231415161968,128.42484001244645,120.6823339263956,7.742525860826774,1.977477592163268e-05,-14.161942542860036,33.734269252231286,-14.162712829509548,47.89621179509132,0.0007702866495122862,48.51797410265412,0.0007705404364338152
1.62,126.53331603923839,138.82907195337174,126.533271050505,12.295755914133352,4.498873339287002e-05,-25.230233085726137,25.484338206369447,-25.231060278573697,50.714571292095584,0.0008271928475593882,52.183841894220386,0.0008284153506458604
1.6400000000000001,131.78703863891258,149.1975633270836,131.7869193739707,17.410524688171023,0.00011926494187264325,-37.441854477407404,15.907072742481875,-37.442736956160175,53.348927219889276,0.0008824787527714761,56.11803992862238,0.0008905014741441954
1.6600000000000001,136.31155778723425,159.42198294610716,136.3113542157666,23.110425158872914,0.00020357146763672063,-50.81294058719775,4.925692040864099,-50.813875785493416,55.73863262806185,0.0009351982956644633,60.33976233189775,0.0009570983202625973
1.68,139.9658705480351,169.38135728614273,139.96557217008757,29.41548673810763,0.00029837794753007074,-65.34937355346341,-7.532525072372627,-65.35035784866142,57.81684848109078,0.000984295198009022,64.86955239806419,0.001028526342101104
1.7,142.60023456892793,178.94163671752148,142.59983047586059,36.341402148593545,0.0004040930673454568,-81.04541427610101,-21.534985159606403,-81.04644287588708,59.510429116494606,0.0010285997860677298,69.72939612355128,0.0011051283757895457
1.72,144.05664348140925,187.95533610780424,144.05612243096215,43.89869262639499,0.0005210504471051536,-97.88228167086973,-37.1424152065845,-97.88334849761009,60.73986646428523,0.001066826740355964,74.94282215399889,0.001187271183162049
1.74,144.16945064285423,196.26126305774574,144.16880114946525,52.09181241489151,0.0006494933889769072,-115.82668923537378,-54.407387007603916,-115.82778680932066,61.41930222776986,0.001097573946879038,80.53500857896758,0.001275347102240146
1.76,142.7661535119523,203.68434788060216,142.7653639534425,60.918194368649864,0.0007895585098083302,-134.82934901972752,-73.37273127267981,-134.8304683423411,61.4566177470477,0.0011193226135901568,86.53289703946899,0.0013697758041756507
1.78,139.66835081099896,210.03559025162392,139.66740955270126,70.36723944062496,0.0009412582977006423,-154.8234547277692,-94.06984297948878,-154.8245851666174,60.753611748280406,0.0011304388482074046,92.96531464452234,0.0014710061769166011
1.8,134.6928843436948,215.11213822836226,134.69177988104562,80.41925388466746,0.0011044626491809595,-175.72315739127626,-116.51688077838803,-175.7242865681514,59.20627661288823,0.0011291768751391373,99.86310422637801,0.0015795183312595047
1.82,127.65317689003966,218.69751605979295,127.6518980105708,91.04433916975329,0.0012788794688560756,-197.42204885232817,-140.71686468336028,-197.4231625364257,56.70518416896789,0.0011136840975325413,107.2592634996793,0.0016958257472271345
1.84,118.3607769745867,220.5620178487117,118.35931294015865,102.20124087412499,0.001464034428053651,-219.79167014851646,-166.65567784914532,-219.7927521567217,53.13599229937114,0.0010820082052305224,115.18909372787749,0.0018204775644628409
1.86,106.62712048467326,220.46328469170277,106.62546123466211,113.83616420702951,0.0016592500111443087,-242.68006381085056,-194.29997994799098,-242.68109591739017,48.38008386285958,0.0010321065396112772,123.69035854078165,0.0019540610299043255
1.8800000000000001,92.26551808517485,218.14708337736565,92.26365446117325,125.8815652921908,0.0018636240016007832,-265.9103910417422,-223.59504152020665,-265.9113528996611,42.31534952153552,0.0009618579189236698,132.80345359041613,0.002097204109174567
1.9000000000000001,75.09337611995306,213.34830505839105,75.09130011236518,138.25492893843798,0.0020760075878882844,-289.2796367249461,-254.4625106816083,-289.28050580209225,34.817126043337794,0.0008690771461488112,142.57158777852692,0.002250578279226896
1.92,54.93465719196971,205.79220250736586,54.93236220867303,150.85754531539615,0.0022949832966858708,-312.5574272132366,-286.7981257271761,-312.5581787456356,25.759301486060508,0.0007515323989650824,153.0409768383506,0.0024149015049813854
1.94,31.622584859108834,195.19588459963373,31.620066016101564,163.5732997405249,0.0025188430072695667,-335.4849878228553,-320.46938947139597,-335.4855947885645,15.015598351459346,0.0006069657092098169,164.26105010578726,0.0025909414249317506
1.96,5.002594856925582,181.27008651790007,4.999849290615792,176.26749166097449,0.0027455663097901706,-357.77426891402945,-355.31322360765046,-357.77470203075484,2.461045306378992,0.00043311672538948187,176.28467137119938,0.002779518745982283
1.98,-25.06446705011002,163.72123382036204,-25.067439849641897,188.78570087047206,0.0029727995318751255,-379.10727132917793,-391.1336239455415,-379.1074990791273,12.026352616363567,0.00022774994937435622,189.16837476282464,0.0029815108747339807
2.0,-58.698903092563576,142.25381793394044,-58.702100928333735,200.952721026504,0.0031978357701589744,-399.1356037673708,-427.69934008790295,-399.13559245297216,28.563736320532144,1.1314398648210044e-05,202.9726166765971,0.003197855786073695
